Strategy,Event Date,Auction Series,Series,Entry Date,Exit Date,Entry Close,Exit Close,Return (%),Basket Avg Return (%),Rate (%),Forecast (%),Previous (%)
A_Auctions,2025-12-24,26250,26249,2025-12-22,2026-01-05,87.153,86.447,-0.8100696476311842,0.2291246002050181,,,
A_Auctions,2025-12-24,26252,26230,2025-12-22,2026-01-05,63.677,63.919,0.38004302966534453,0.2291246002050181,,,
A_Auctions,2025-12-24,26252,26238,2025-12-22,2026-01-05,59.874,59.862,-0.020042088385607837,0.2291246002050181,,,
A_Auctions,2025-12-24,26252,26240,2025-12-22,2026-01-05,62.449,63.228,1.2474178930006907,0.2291246002050181,,,
A_Auctions,2025-12-24,26252,26244,2025-12-22,2026-01-05,86.6,87.416,0.942263279445732,0.2291246002050181,,,
A_Auctions,2025-12-24,26252,26245,2025-12-22,2026-01-05,88.8,88.476,-0.3648648648648667,0.2291246002050181,,,
A_Auctions,2025-12-24,26252,26249,2025-12-22,2026-01-05,87.153,86.447,-0.8100696476311842,0.2291246002050181,,,
A_Auctions,2026-01-14,26225,26230,2026-01-12,2026-01-21,62.787,61.669,-1.7806233774507518,-0.8773249902267651,,,
A_Auctions,2026-01-14,26225,26238,2026-01-12,2026-01-21,58.788,58.139,-1.1039667959447441,-0.8773249902267651,,,
A_Auctions,2026-01-14,26225,26240,2026-01-12,2026-01-21,62.601,62.225,-0.600629382917206,-0.8773249902267651,,,
A_Auctions,2026-01-14,26225,26244,2026-01-12,2026-01-21,86.308,85.545,-0.8840431941419147,-0.8773249902267651,,,
A_Auctions,2026-01-14,26225,26245,2026-01-12,2026-01-21,87.88,87.353,-0.599681383705053,-0.8773249902267651,,,
A_Auctions,2026-01-14,26225,26249,2026-01-12,2026-01-21,86.1,85.846,-0.29500580720092096,-0.8773249902267651,,,
A_Auctions,2026-01-14,26253,26230,2026-01-12,2026-01-21,62.787,61.669,-1.7806233774507518,-0.8773249902267651,,,
A_Auctions,2026-01-14,26253,26238,2026-01-12,2026-01-21,58.788,58.139,-1.1039667959447441,-0.8773249902267651,,,
A_Auctions,2026-01-14,26253,26240,2026-01-12,2026-01-21,62.601,62.225,-0.600629382917206,-0.8773249902267651,,,
A_Auctions,2026-01-14,26253,26244,2026-01-12,2026-01-21,86.308,85.545,-0.8840431941419147,-0.8773249902267651,,,
A_Auctions,2026-01-14,26253,26245,2026-01-12,2026-01-21,87.88,87.353,-0.599681383705053,-0.8773249902267651,,,
A_Auctions,2026-01-14,26253,26249,2026-01-12,2026-01-21,86.1,85.846,-0.29500580720092096,-0.8773249902267651,,,
A_Auctions,2026-01-21,26230,26230,2026-01-19,2026-01-28,62.401,61.812,-0.9438951298857523,-0.4295655335080621,,,
A_Auctions,2026-01-21,26230,26238,2026-01-19,2026-01-28,58.6,58.389,-0.3600682593856597,-0.4295655335080621,,,
A_Auctions,2026-01-21,26230,26240,2026-01-19,2026-01-28,62.432,62.25,-0.2915171706817099,-0.4295655335080621,,,
A_Auctions,2026-01-21,26230,26244,2026-01-19,2026-01-28,85.981,85.495,-0.5652411579302297,-0.4295655335080621,,,
A_Auctions,2026-01-21,26230,26245,2026-01-19,2026-01-28,87.598,87.5,-0.11187470033562352,-0.4295655335080621,,,
A_Auctions,2026-01-21,26230,26249,2026-01-19,2026-01-28,86.287,86.024,-0.3047967828293974,-0.4295655335080621,,,
A_Auctions,2026-01-21,26228,26230,2026-01-19,2026-01-28,62.401,61.812,-0.9438951298857523,-0.4295655335080621,,,
A_Auctions,2026-01-21,26228,26238,2026-01-19,2026-01-28,58.6,58.389,-0.3600682593856597,-0.4295655335080621,,,
A_Auctions,2026-01-21,26228,26240,2026-01-19,2026-01-28,62.432,62.25,-0.2915171706817099,-0.4295655335080621,,,
A_Auctions,2026-01-21,26228,26244,2026-01-19,2026-01-28,85.981,85.495,-0.5652411579302297,-0.4295655335080621,,,
A_Auctions,2026-01-21,26228,26245,2026-01-19,2026-01-28,87.598,87.5,-0.11187470033562352,-0.4295655335080621,,,
A_Auctions,2026-01-21,26228,26249,2026-01-19,2026-01-28,86.287,86.024,-0.3047967828293974,-0.4295655335080621,,,
A_Auctions,2026-01-28,26235,26230,2026-01-26,2026-02-04,61.63,62.306,1.0968684082427238,0.4190242504533999,,,
A_Auctions,2026-01-28,26235,26238,2026-01-26,2026-02-04,58.313,58.499,0.31896832610223136,0.4190242504533999,,,
A_Auctions,2026-01-28,26235,26240,2026-01-26,2026-02-04,61.936,62.259,0.5215060707827401,0.4190242504533999,,,
A_Auctions,2026-01-28,26235,26244,2026-01-26,2026-02-04,85.174,85.327,0.17963228215183147,0.4190242504533999,,,
A_Auctions,2026-01-28,26235,26245,2026-01-26,2026-02-04,87.349,87.52,0.19576640831606706,0.4190242504533999,,,
A_Auctions,2026-01-28,26235,26249,2026-01-26,2026-02-04,85.897,86.07,0.20140400712480577,0.4190242504533999,,,
A_Auctions,2026-01-28,26254,26230,2026-01-26,2026-02-04,61.63,62.306,1.0968684082427238,0.4190242504533999,,,
A_Auctions,2026-01-28,26254,26238,2026-01-26,2026-02-04,58.313,58.499,0.31896832610223136,0.4190242504533999,,,
